3333,50
3500,80
3750,17
3833,81
3916,40
4000,47
4250,38
4500,84
5000,15
5666,82
5916,17
6250,77
6500,35
7166,83
7416,13
7583,78
7666,11
7750,78
7916,32
8000,74
8166,61
8333,80
8583,59
8916,72
9000,54
9250,84
9500,10
9666,69
9750,54
9916,63
10000,48
10166,62
10250,55
10333,62
10500,63
10583,57
11250,12
12000,79
12833,11
13000,79
13333,12
13916,57
14000,59
14083,52
14166,65
14333,60
15833,9
16000,82
16166,35
16416,47
16833,35
17000,83
17833,9
18000,86
18416,9
18916,75
19166,63
19250,66
19416,62
19583,64
19750,63
19833,63
20000,56
20250,83
20583,9
21250,91
21500,11
21583,79
21916,62
22000,79
23166,12
23333,81
23500,67
23583,81
23750,11
24250,89
24666,11
24750,85
24833,11
25083,65
25250,61
25416,84
25583,13
26083,86
26500,46
26583,73
26666,57
26750,63
27000,64
27166,67
27416,34
27916,80
28000,70
28166,69
28500,58
28583,76
28833,65
29166,82
29250,83
29416,76
29833,84
29916,82
30000,78
30333,84
31083,16
31916,83
32249,60
32333,88
32833,14
33250,85
33500,86
33666,73
33833,71
34000,84
34166,76
34333,78
34666,75
34833,78
34916,77
35083,69
35250,73
35416,74
35500,67
35583,80
35833,18
36000,93
36166,15
36416,79
36500,62
36666,71
36750,86
37166,71
37333,69
37750,76
38000,73
38083,73
38250,71
38333,68
38500,73
38666,65
38750,74
38916,76
39000,67
39250,76
39500,73
39666,76
39916,66
40083,75
40500,70
40666,77
40750,74
41000,80
41166,70
41250,64
41416,64
41583,85
41916,12
42333,94
42583,13
42750,89
42916,13
43083,92
43250,13
43416,89
43666,70
43750,82
43833,78
44000,75
44083,75
44250,80
44416,67
44500,83
44750,17
44916,89
45083,72
45166,79
45416,72
45583,81
45833,62
46000,90
46416,29
46583,85
46916,44
47250,83
47500,34
47750,90
47916,32
48083,77
48166,57
48500,82
48666,11
49000,83
49083,80
49416,81
49500,76
49916,81
50250,68
50666,79
50833,75
51000,71
51333,72
51583,75
51833,74
52500,73
52583,78
53000,76
53166,77
53250,79
53416,78
53583,74
53750,59
53833,76
53916,67
54083,77
54333,82
54666,81
55000,70
55083,74
55250,69
55333,71
55416,77
55583,77
55666,74
56000,77
56250,65
56750,78
56916,77
57166,83
57583,74
57833,80
58000,71
58166,84
59000,55
59166,78
59250,43
59583,47
59666,46
59833,81
60250,52
60500,70
60583,56
60750,90
60833,12
61333,88
61833,11
62000,88
62166,7
62250,91
62500,12
63083,92
63333,38
63916,62
64666,26
64916,78
65083,58
65166,82
65333,59
65416,85
65583,16
66083,96
66416,13
66750,88
66833,63
67166,80
67333,75
67416,80
67666,60
67916,76
68000,80
68083,75
68166,70
68500,67
68916,80
69000,72
69166,74
69333,79
69500,77
70083,75
70500,70
70583,62
70916,71
71083,88
71250,67
71416,83
71500,74
71583,79
71750,76
71833,79
72250,78
72333,88
72833,16
73000,93
73166,19
73416,89
73583,74
73666,75
73833,67
73916,78
74083,72
74333,77
74583,79
74833,77
74916,76
75000,80
75083,80
75250,83
75416,73
75500,84
75833,74
